,n_rows,n_missing,pct_missing,miss_first,miss_second,miss_both_first_two,miss_any_first_two,miss_intermediate,n_missing_intermediate,miss_last
USGOOD,784,0,0,False,False,False,False,False,0,False
USGOVT,784,0,0,False,False,False,False,False,0,False
USTPU,784,0,0,False,False,False,False,False,0,False
USTRADE,784,0,0,False,False,False,False,False,0,False
USWTRADE,784,0,0,False,False,False,False,False,0,False
W875RX1,784,0,0,False,False,False,False,False,0,False
WPSFD49207,784,0,0,False,False,False,False,False,0,False
WPSFD49502,784,0,0,False,False,False,False,False,0,False
WPSID61,784,0,0,False,False,False,False,False,0,False
WPSID62,784,0,0,False,False,False,False,False,0,False
