boundary_position,transition_id,canonical_id,transition_vintage,old_source,new_source,relationship_type,equivalence_level,old_active_to_vintage,new_active_from_vintage,old_expected_tcode,new_expected_tcode,transformation_codes_equal,comparison_mode,selection_note,old_data_vintage,new_data_vintage,old_filename,new_filename,old_embedded_tcode,new_embedded_tcode,old_transformed_n_valid,new_transformed_n_valid,n_common_valid,first_common_date,last_common_date,pearson_corr,spearman_corr,old_mean,new_mean,old_std,new_std,std_ratio_new_old,mean_difference,mae_difference,rmse_difference,nrmse_old_std,sign_agreement,ols_alpha,ols_beta,ols_r2,diagnostic_status,diagnostic_flags,mechanical_failure_reasons
1,MONETARY_BASE__2020-01__AMBSL__to__BOGMBASE,MONETARY_BASE,2020-01,AMBSL,BOGMBASE,official_successor,non_exact,2019-12,2020-01,6,6,True,adjacent_vintage_bridge,transition_vintage_no_valid_coexistence|predecessor_vintage_no_valid_coexistence,2019-12,2020-01,2019-12.csv,2020-01.csv,6,6,729,730,729,1959-03-01,2019-11-01,0.8147246846732978,0.4574745903513028,1.4266179169817466e-05,4.421196433830513e-05,0.01724414807982877,0.018875607593468215,1.0946094585877417,2.9945785168487663e-05,0.008312773893135285,0.011102904104131403,0.6438650406347968,0.6378600823045267,3.1489309487835976e-05,0.8918053459883084,0.6637763118160052,computed,cross_vintage_revisions_may_contribute,
2,PPI_FINISHED_CONSUMER_GOODS__2016-03__PPIFCG__to__WPSFD49502,PPI_FINISHED_CONSUMER_GOODS,2016-03,PPIFCG,WPSFD49502,official_successor,non_exact,2016-02,2016-03,6,6,True,adjacent_vintage_bridge,transition_vintage_no_valid_coexistence|predecessor_vintage_no_valid_coexistence,2016-02,2016-03,2016-02.csv,2016-03.csv,6,6,682,684,682,1959-03-01,2015-12-01,0.9967998989679562,0.9959926804471728,-1.5270055616009622e-05,-1.5961594787758293e-05,0.008551484332831568,0.008535866047266532,0.9981736170052873,-6.915391717486704e-07,0.00016090598362272974,0.0006836832871529703,0.0799490779078103,0.9970674486803519,-7.682046148688032e-07,0.9949793605833502,0.9936100385825276,computed,cross_vintage_revisions_may_contribute,
3,PPI_FINISHED_GOODS__2016-03__PPIFGS__to__WPSFD49207,PPI_FINISHED_GOODS,2016-03,PPIFGS,WPSFD49207,official_successor,non_exact,2016-02,2016-03,6,6,True,adjacent_vintage_bridge,transition_vintage_no_valid_coexistence|predecessor_vintage_no_valid_coexistence,2016-02,2016-03,2016-02.csv,2016-03.csv,6,6,682,684,682,1959-03-01,2015-12-01,0.9967699520495285,0.9958807567858637,-1.588147850798504e-05,-1.5857650201077106e-05,0.00670535446585824,0.006687655775297502,0.9973605138026849,2.3828306907933016e-08,0.00012779365508871303,0.0005385201825224467,0.08031196341139585,0.9956011730205279,-6.92531733152839e-08,0.9941389915191948,0.9935503373088191,computed,cross_vintage_revisions_may_contribute,
4,PPI_PROCESSED_INTERMEDIATE_GOODS__2016-03__PPIITM__to__WPSID61,PPI_PROCESSED_INTERMEDIATE_GOODS,2016-03,PPIITM,WPSID61,official_successor,non_exact,2016-02,2016-03,6,6,True,adjacent_vintage_bridge,transition_vintage_no_valid_coexistence|predecessor_vintage_no_valid_coexistence,2016-02,2016-03,2016-02.csv,2016-03.csv,6,6,682,684,682,1959-03-01,2015-12-01,0.9987991688296796,0.9963188270668042,-1.9159304591549215e-05,-1.9945562785865192e-05,0.007471660920816809,0.007463787791897329,0.9989462679044302,-7.862581943159733e-07,8.925975219470475e-05,0.00036605443268667364,0.048992377540421926,0.9868035190615836,-8.294298153388182e-07,0.9977467020884555,0.9975997796548589,computed,cross_vintage_revisions_may_contribute,
5,PPI_UNPROCESSED_INTERMEDIATE_GOODS__2016-03__PPICRM__to__WPSID62,PPI_UNPROCESSED_INTERMEDIATE_GOODS,2016-03,PPICRM,WPSID62,official_successor,non_exact,2016-02,2016-03,6,6,True,adjacent_vintage_bridge,transition_vintage_no_valid_coexistence|predecessor_vintage_no_valid_coexistence,2016-02,2016-03,2016-02.csv,2016-03.csv,6,6,682,684,682,1959-03-01,2015-12-01,0.9992497654348527,0.9986510425830436,-3.474664986015214e-05,-4.1688799433900607e-05,0.04064885331101938,0.04059807937187435,0.9987509133712447,-6.942149573748473e-06,0.00031036216597016167,0.0015744200314598074,0.03873221267555418,0.9941348973607038,-7.01158672586887e-06,0.9980016159140612,0.9985000937216084,computed,cross_vintage_revisions_may_contribute,
6,TRADE_WEIGHTED_USD_ADVANCED_ECONOMIES__2020-04__TWEXMMTH__to__TWEXAFEGSMTHx,TRADE_WEIGHTED_USD_ADVANCED_ECONOMIES,2020-04,TWEXMMTH,TWEXAFEGSMTHx,official_successor,non_exact,2020-03,2020-04,5,5,True,adjacent_vintage_bridge,transition_vintage_no_valid_coexistence|predecessor_vintage_no_valid_coexistence,2020-03,2020-04,2020-03.csv,2020-04.csv,5,5,563,566,563,1973-02-01,2019-12-01,0.9996973016642289,0.9996996183599822,-0.00029040233784808495,-0.0002719382838498636,0.016746756504845414,0.016772564176956693,1.001541054956153,1.8464053998221386e-05,0.0001664715049443837,0.0004135872772618801,0.024696560025949804,0.9964476021314387,1.8823540190507305e-05,1.001237890145612,0.9993946949547406,computed,cross_vintage_revisions_may_contribute,
