canonical_id,n_vintages_checked,active_sources_seen,n_vintages_hard_fail,min_transformed_n_valid,min_transformed_observed_fraction,min_transformed_std,canonical_audit_status,hard_failure_reasons
MONETARY_BASE,198,AMBSL|BOGMBASE,0,610,0.9967320261437909,0.014133099534365076,pass,
PPI_FINISHED_CONSUMER_GOODS,198,PPIFCG|WPSFD49502,0,610,0.9950186799501868,0.008383395983159691,pass,
PPI_FINISHED_GOODS,198,PPIFGS|WPSFD49207,0,610,0.9950186799501868,0.006597707822501211,pass,
PPI_PROCESSED_INTERMEDIATE_GOODS,198,PPIITM|WPSID61,0,610,0.9950186799501868,0.007324955208524273,pass,
PPI_UNPROCESSED_INTERMEDIATE_GOODS,198,PPICRM|WPSID62,0,610,0.9950186799501868,0.04010970237507386,pass,
TRADE_WEIGHTED_USD_ADVANCED_ECONOMIES,198,TWEXAFEGSMTHx|TWEXMMTH,0,443,0.7238562091503268,0.016483275825643434,pass,
