canonical_id,review_mode,pair_role,old_reference_series,new_reference_series,canonical_tcode,reference_date,old_transformed,new_transformed,difference_new_minus_old
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1921-04-01,-0.00498024045614343,-0.00960564100735062,-0.00462540055120719
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1921-05-01,0.0160647779483889,0.0168416479621261,0.000776870013737163
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1921-06-01,-0.00833769672261675,-0.00859884106125719,-0.00026114433864044
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1921-07-01,-3.15430433868169e-05,-0.00115151239880285,-0.00111996935541603
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1921-08-01,-2.98469746922159e-05,-0.00028014637831375,-0.000250299403621534
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1921-09-01,-0.000583872015951448,0.0150261854062779,0.0156100574222293
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1921-10-01,0.00202468154160784,0.00055351221909361,-0.00147116932251423
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1921-11-01,0.0028667607622348,-0.00484521448642528,-0.00771197524866007
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1921-12-01,0.00658023496315274,0.0150672056106218,0.00848697064746906
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-01-01,0.00055992855390774,-0.0349868118011287,-0.0355467403550365
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-02-01,0.000565103351253038,0.0101700546485475,0.00960495129729444
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-03-01,0.00916292595629797,0.0251150735637071,0.0159521476074092
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-04-01,-0.00155658105818701,-0.0057855378747611,-0.00422895681657409
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-05-01,-0.00172148487342616,-0.000391707831513877,0.00132977704191228
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-06-01,-0.000199433970793139,-0.000388173615178511,-0.000188739644385372
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-07-01,0.000364394627200282,-0.000574199926034247,-0.000938594553234529
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-08-01,-0.00225439436338015,-0.00340697695044367,-0.00115258258706352
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-09-01,0.00558593338134128,0.0206407474422199,0.0150548140608786
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-10-01,0.00142742620505509,-0.000366052883219226,-0.00179347908827432
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-11-01,-0.00979801722600038,-0.016220061308867,-0.00642204408286662
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1922-12-01,0.0141226098883511,0.0243447107652264,0.0102221008768753
MONETARY_BASE,triangulation,old_vs_aux,AMBSL,AMBNS,6,1923-01-01,0.0014597122674409,-0.0381029308394163,-0.0395626431068572
