T10YFFM: Frequency = Monthly, Seasonality = Percent, Not Seasonally Adjusted
AAAFFM: Frequency = Monthly, Seasonality = Percent, Not Seasonally Adjusted
BAAFFM: Frequency = Monthly, Seasonality = Percent, Not Seasonally Adjusted
WPSFD49207: Frequency = Monthly, Seasonality = Index 1982=100, Seasonally Adjusted
WPSFD49502: Frequency = Monthly, Seasonality = Index 1982=100, Seasonally Adjusted
WPSID61: Frequency = Monthly, Seasonality = Index 1982=100, Seasonally Adjusted
WPSID62: Frequency = Monthly, Seasonality = Index 1982=100, Seasonally Adjusted
PPICMM: Frequency = Monthly, Seasonality = Index 1982=100, Not Seasonally Adjusted
CPIAUCSL: Frequency = Monthly, Seasonality = Index 1982-1984=100, Seasonally Adjusted
CPIAPPSL: Frequency = Monthly, Seasonality = Index 1982-1984=100, Seasonally Adjusted
CPITRNSL: Frequency = Monthly, Seasonality = Index 1982-1984=100, Seasonally Adjusted
CPIMEDSL: Frequency = Monthly, Seasonality = Index 1982-1984=100, Seasonally Adjusted
CUSR0000SAC: Frequency = Monthly, Seasonality = Index 1982-1984=100, Seasonally Adjusted
CUSR0000SAD: Frequency = Monthly, Seasonality = Index 1982-1984=100, Seasonally Adjusted
CUSR0000SAS: Frequency = Monthly, Seasonality = Index 1982-1984=100, Seasonally Adjusted
CPIULFSL: Frequency = Monthly, Seasonality = Index 1982-1984=100, Seasonally Adjusted
CUSR0000SA0L2: Frequency = Monthly, Seasonality = Index 1982-1984=100, Seasonally Adjusted
CUSR0000SA0L5: Frequency = Monthly, Seasonality = Index 1982-1984=100, Seasonally Adjusted
PCEPI: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
DDURRG3M086SBEA: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
DNDGRG3M086SBEA: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
DSERRG3M086SBEA: Frequency = Monthly, Seasonality = Index 2017=100, Seasonally Adjusted
CES0600000008: Frequency = Monthly, Seasonality = Dollars per Hour, Seasonally Adjusted
CES2000000008: Frequency = Monthly, Seasonality = Dollars per Hour, Seasonally Adjusted
CES3000000008: Frequency = Monthly, Seasonality = Dollars per Hour, Seasonally Adjusted
DTCOLNVHFNM: Frequency = Monthly, Seasonality = Millions of Dollars, Not Seasonally Adjusted
DTCTHFNM: Frequency = Monthly, Seasonality = Millions of Dollars, Not Seasonally Adjusted
INVEST: Frequency = Monthly, Seasonality = Billions of U.S. Dollars, Seasonally Adjusted
